"permutations";"#UUIDs";"#classes";"#clone_configs"
"10_6_8_7_1_16_13_12_14_9_3_15_2_11_4_5";"11404";"6";"114"
"2_7_12_16_6_1_9_13_14_15_8_3_11_4_5_10";"11211";"5";"114"
"9_3_5_13_15_10_2_1_16_14_11_6_12_7_4_8";"11515";"6";"114"
"10_13_6_16_8_11_9_1_14_3_2_12_5_7_15_4";"11315";"5";"114"
"7_14_11_10_12_15_8_9_16_1_5_4_6_2_13_3";"11330";"5";"114"
"3_11_6_13_4_14_15_1_10_16_2_12_8_9_7_5";"11241";"5";"114"
"2_4_7_10_13_6_16_8_14_12_15_11_1_3_9_5";"11533";"5";"114"
"4_11_2_9_15_7_3_5_10_8_13_1_14_12_6_16";"11486";"5";"114"
"3_10_2_16_8_14_15_9_5_13_1_11_12_7_6_4";"11602";"6";"114"
"15_6_13_8_12_2_14_1_7_4_11_5_16_3_10_9";"11223";"5";"114"
"4_7_13_6_3_8_5_15_12_11_1_2_16_14_10_9";"11272";"5";"114"
"12_1_5_15_7_11_9_10_2_16_13_14_3_4_6_8";"11379";"5";"114"
"6_4_1_10_7_9_15_2_16_13_11_5_8_3_12_14";"11280";"6";"114"
"7_10_5_2_13_15_11_8_12_6_14_1_16_3_4_9";"11351";"5";"114"
"10_12_15_6_11_14_4_8_2_16_5_3_9_7_1_13";"11453";"5";"114"
"12_9_11_6_1_13_2_16_15_4_8_5_3_7_14_10";"11400";"5";"114"
"10_8_9_6_2_1_5_16_13_15_4_12_3_7_14_11";"11323";"6";"114"
"12_2_11_4_9_16_1_6_8_10_15_3_7_5_13_14";"11423";"5";"114"
"4_6_10_13_2_12_14_7_11_16_3_1_15_8_9_5";"11386";"6";"114"
"13_14_6_3_12_5_8_4_16_10_7_11_1_2_15_9";"11260";"5";"114"
"4_16_3_1_13_6_15_14_9_5_8_2_10_11_7_12";"11213";"5";"114"
"12_15_13_8_10_1_6_5_7_3_2_16_14_4_9_11";"11254";"5";"114"
"14_7_1_8_13_5_9_4_16_6_2_15_10_11_3_12";"11266";"5";"114"
"6_15_16_8_14_5_1_10_13_9_4_7_2_3_12_11";"11182";"5";"114"
"13_6_14_4_3_8_5_10_12_11_15_2_7_9_16_1";"11367";"5";"114"
"11_2_7_8_15_1_3_16_13_12_4_6_9_5_14_10";"11524";"5";"114"
"1_5_14_9_12_11_15_10_13_2_8_4_16_7_6_3";"11167";"5";"114"
"8_3_14_6_11_2_4_9_1_13_5_15_10_16_12_7";"11296";"5";"114"
"15_8_4_11_3_9_12_7_16_5_1_2_13_10_14_6";"11249";"5";"114"
"4_12_1_9_14_11_16_13_6_15_3_10_7_5_2_8";"11371";"5";"114"
"11_4_2_15_14_1_7_8_5_6_12_3_13_16_9_10";"11467";"5";"114"
