"permutations";"#UUIDs";"#classes";"#clone_configs"
"4_13_8_3_1_12_14_2_10_15_9_6_7_11";"11741";"1";"28"
"7_4_16_10_5_14_6_8_2_1_15";"12255";"2";"22"
"10_1_14";"9593";"0";"0"
"1_8_4_6_10_3_5_15";"12208";"2";"16"
"7_4_6_1_5_13_8_15_11";"12075";"2";"18"
"2_1";"6568";"0";"0"
"15_1_9_2_3_14_4_5_6_10_16_12_13_11_7";"12180";"2";"30"
"4_2_8_5_3_16_15_10_1_12_14_6_11";"11838";"1";"26"
"16_1";"9722";"0";"0"
"14_10_4_7_5_8_6_15_2_9_12_1_3_16";"12754";"2";"28"
"13_1_4_10_9";"11454";"2";"10"
"2_6_13_15_3_11_1_9_12_8_7";"12654";"2";"22"
"16_5_6_12_14_4_13_15_1_3";"12071";"2";"20"
"3_5_15_16_7_9_12_14_11_1_4_2";"11635";"1";"24"
"7_1_13_14_8_10_4_12_16_6_3_2_11_9_15";"12327";"2";"30"
"8_4_1_10_11";"11946";"2";"10"
"1_9_15_2_5_3_7";"12081";"2";"14"
"1_9_6_13";"9476";"0";"0"
"3_1_15_7_11_4_2_9_10_5_16_6_12";"11518";"1";"26"
"11_6_3_10_8_5_9_13_12_7_4_14_1_2_16";"11712";"1";"30"
"13_1_10_4_12_8_9_14_11_3_6_5_15_7";"12329";"2";"28"
"2_3_1_11_5_10_8_4";"11931";"2";"16"
"9_12_11_6_13_1_16_2_8_5_10";"12265";"2";"22"
"11_1_12";"10808";"1";"6"
"1_8_2_4_13_12_11_9_10";"12063";"2";"18"
"11_1";"10373";"1";"4"
"1_5_13_12_2_14_9_8_15_3";"11630";"2";"20"
"1_12_4_13_2_10_6_15_7_14_11_8_5_16_9";"12208";"2";"30"
"1_14_16_5";"9850";"0";"0"
"5_8_9_15_1";"9945";"0";"0"
"11_10_4_5_1";"11744";"1";"10"
"8_9_4_1_10_14_5_2_15_16_13";"12260";"2";"22"
"15_3_6_13_4_1_16_11_5_14_10";"12062";"2";"22"
"8_6_4_3_1_12_11_16_7_13_5_2";"12044";"2";"24"
"15_9_11_1_2_3_13_16_6_8_10_12_5_14";"12211";"2";"28"
"10_2_1_11";"10871";"2";"8"
"5_8_6_12_7_9_15_4_3_10_14_1_13_16_2";"12228";"2";"30"
"12_8_1_3_7_13_15_4_5_9";"12441";"2";"20"
"13_10_1_11";"11351";"2";"8"
"10_12_14_1_13_16_15_8_9";"11835";"0";"0"
"12_7_4_8_9_13_5_1";"12257";"2";"16"
"2_1";"6568";"0";"0"
"1_5_9";"9180";"0";"0"
"11_5_6_2_3_16_1";"11654";"1";"14"
