"permutations";"#UUIDs";"#classes";"#clone_configs"
"16_5_12_15_6_2_7_3_14_11_8_1_13_4_9_10";"12837";"2";"32"
"1_2_9_13_7_5_4_16_14_11_3_15_6_12_10_8";"12333";"2";"32"
"13_5_11_2_8_12_3_4_6_10_1_7_16_9_14_15";"12373";"2";"32"
"10_8_14_5_15_1_4_7_9_12_6_11_13_3_16_2";"12427";"2";"32"
"2_5_9_12_13_10_4_3_16_7_8_6_14_1_11_15";"12424";"2";"32"
"10_16_11_2_3_4_1_6_5_8_14_13_12_9_15_7";"12347";"2";"32"
"9_5_4_10_8_12_11_14_16_7_2_3_13_15_6_1";"12223";"2";"32"
"5_2_16_13_6_1_14_4_15_11_12_7_3_8_9_10";"12274";"2";"32"
"12_9_16_6_8_14_3_13_7_2_11_15_1_5_10_4";"12704";"2";"32"
"9_2_7_5_8_16_14_12_6_1_3_15_13_4_10_11";"12554";"2";"32"
"13_5_14_6_15_3_1_11_16_2_8_12_7_9_10_4";"11880";"2";"32"
"7_1_10_5_4_15_9_14_3_13_8_2_12_11_16_6";"12265";"2";"32"
"9_16_4_3_6_10_5_2_14_12_1_15_8_7_11_13";"12207";"2";"32"
"16_11_9_1_4_7_2_15_12_10_8_6_5_13_14_3";"11725";"2";"32"
"11_16_3_10_4_7_14_1_13_9_8_2_15_6_5_12";"11655";"1";"32"
"7_6_14_16_3_5_4_10_8_11_1_15_12_2_9_13";"12319";"2";"32"
"1_12_8_4_14_5_15_9_2_7_13_6_11_16_10_3";"12469";"2";"32"
"16_8_7_5_3_1_2_13_14_10_11_4_9_12_15_6";"12044";"2";"32"
"11_3_5_12_6_16_14_8_7_4_1_15_2_10_13_9";"11631";"1";"32"
"11_9_5_14_16_15_2_6_1_12_10_3_7_13_4_8";"11515";"1";"32"
"11_3_14_2_15_8_6_9_16_4_13_10_12_7_5_1";"11731";"1";"32"
"11_4_9_15_10_14_8_6_16_5_7_13_2_1_3_12";"11916";"1";"32"
"5_10_3_9_6_2_14_15_4_7_16_12_13_1_8_11";"12442";"2";"32"
"10_5_13_7_12_2_4_8_16_3_6_14_1_11_15_9";"12754";"2";"32"
"3_8_15_13_10_16_14_6_4_5_12_2_1_7_11_9";"11664";"1";"32"
"5_9_16_11_7_6_4_8_12_10_15_13_3_2_1_14";"12433";"2";"32"
"11_12_16_13_14_10_9_8_7_4_15_5_2_3_1_6";"11666";"1";"32"
"8_14_16_9_13_1_10_3_15_7_2_5_12_11_6_4";"12493";"2";"32"
"15_16_4_10_12_3_5_9_13_11_1_8_6_2_7_14";"12269";"2";"32"
"3_6_11_9_15_14_1_4_2_8_12_10_7_5_13_16";"11292";"1";"32"
"12_14_13_2_7_5_10_11_3_9_1_16_6_8_15_4";"12673";"2";"32"
"13_3_1_4_15_16_11_7_14_5_10_12_2_9_8_6";"11773";"2";"32"
"3_15_13_9_12_5_8_7_4_1_16_2_10_11_14_6";"11671";"1";"32"
"16_15_2_8_9_6_4_10_1_11_3_7_13_12_5_14";"12028";"2";"32"
"8_11_10_4_12_5_2_6_9_3_16_14_13_7_15_1";"12373";"2";"32"
"6_16_5_8_10_7_9_15_1_2_14_4_13_11_12_3";"12293";"2";"32"
"7_15_6_2_14_16_9_8_3_4_11_10_1_12_5_13";"12052";"2";"32"
"10_9_1_14_11_12_7_5_13_16_2_8_4_3_15_6";"12225";"2";"32"
"10_5_11_4_15_16_9_14_3_12_7_13_1_8_6_2";"12405";"2";"32"
"14_12_4_10_5_13_15_3_16_1_9_7_8_11_2_6";"12365";"2";"32"
"1_12_4_7_14_3_13_11_8_5_6_2_16_10_15_9";"12209";"2";"32"
"16_12_7_5_6_10_3_9_14_11_8_13_15_1_2_4";"12871";"2";"32"
"8_11_13_6_9_14_10_4_1_2_16_12_15_3_5_7";"12008";"2";"32"
"15_4_6_11_3_9_16_2_13_12_7_10_5_8_1_14";"12109";"2";"32"
"5_6_1_16_7_11_4_10_3_9_14_2_15_13_12_8";"11981";"2";"32"
"1_5_9_11_16_8_4_14_7_6_15_3_13_10_2_12";"12109";"2";"32"
"4_3_13_2_6_11_12_16_1_9_8_5_14_7_10_15";"11707";"1";"32"
"10_8_1_6_12_5_16_15_14_3_7_2_11_13_9_4";"12392";"2";"32"
"13_6_10_8_4_5_12_1_2_11_15_3_16_14_9_7";"12737";"2";"32"
"15_12_6_4_5_11_7_9_10_16_1_3_8_13_14_2";"12138";"2";"32"
"3_5_11_2_16_15_12_6_1_4_13_8_7_9_14_10";"11710";"1";"32"
"13_6_16_5_12_2_15_3_14_1_11_9_8_4_10_7";"12839";"2";"32"
"11_12_7_15_4_16_10_3_5_2_1_14_9_13_6_8";"11650";"1";"32"
"11_12_2_7_4_13_1_9_8_14_5_16_15_6_3_10";"11849";"1";"32"
"1_12_11_4_7_2_6_8_9_3_5_14_15_16_13_10";"11958";"2";"32"
"14_10_16_15_4_5_3_12_6_9_2_11_7_8_13_1";"12729";"2";"32"
"3_4_10_1_6_7_8_2_9_11_16_12_13_14_15_5";"11957";"1";"32"
"12_2_7_5_8_1_11_10_6_16_3_13_14_15_9_4";"12589";"2";"32"
"3_10_9_14_4_6_7_2_11_8_16_1_12_13_15_5";"11696";"1";"32"
"12_1_8_5_15_4_3_13_7_9_2_10_11_14_6_16";"12414";"2";"32"
"5_8_10_4_2_9_16_6_11_12_15_3_7_13_1_14";"12672";"2";"32"
"2_13_8_4_3_9_10_7_15_5_11_14_1_6_16_12";"12697";"2";"32"
"15_5_10_12_7_11_2_1_6_8_14_4_3_13_9_16";"12765";"2";"32"
"8_12_7_1_11_10_4_5_16_14_6_15_2_13_9_3";"12032";"2";"32"
"11_14_9_8_3_6_5_12_15_16_10_2_4_1_7_13";"11342";"1";"32"
"1_16_8_15_2_3_6_10_5_9_13_14_11_7_12_4";"12421";"2";"32"
"6_11_4_2_12_8_10_16_13_1_15_7_14_9_3_5";"12113";"2";"32"
"14_12_1_15_7_11_6_9_3_2_5_16_10_4_8_13";"12376";"2";"32"
"1_9_11_3_16_7_14_15_13_4_8_2_6_12_5_10";"11806";"2";"32"
"14_15_12_1_7_9_10_11_4_6_2_13_8_5_16_3";"12041";"2";"32"
"15_3_2_16_1_9_12_8_11_10_5_13_14_6_7_4";"12070";"2";"32"
"14_15_7_8_9_11_12_2_10_5_4_16_6_1_13_3";"12355";"2";"32"
"16_1_7_2_3_8_15_6_13_14_10_12_9_4_5_11";"12422";"2";"32"
"13_3_6_12_8_11_10_15_1_2_7_16_5_9_14_4";"12566";"2";"32"
"14_12_9_4_3_8_6_11_5_13_7_10_15_1_16_2";"12078";"2";"32"
"6_15_4_7_16_3_8_9_1_12_10_11_5_13_2_14";"12248";"2";"32"
"4_15_14_5_12_1_3_8_11_13_16_7_2_9_10_6";"11679";"1";"32"
"8_15_12_13_11_7_6_3_1_2_10_9_5_16_4_14";"11939";"2";"32"
"4_14_5_16_11_6_13_12_2_3_10_9_15_8_1_7";"11719";"1";"32"
"13_9_1_11_7_2_14_6_5_3_16_10_8_15_4_12";"12250";"2";"32"
"10_9_4_11_14_3_7_1_16_8_13_15_5_6_12_2";"11937";"2";"32"
"6_16_10_3_1_5_7_11_15_8_14_4_9_2_13_12";"12643";"2";"32"
"7_8_5_12_6_14_15_10_13_2_11_4_9_16_1_3";"12435";"2";"32"
"3_2_15_11_4_13_8_9_12_6_1_10_16_5_7_14";"11934";"1";"32"
"9_8_7_3_1_4_13_6_11_14_12_15_2_16_5_10";"12342";"2";"32"
"9_14_10_6_11_8_13_1_15_5_3_4_16_7_2_12";"12296";"2";"32"
"4_14_9_7_15_13_16_8_6_3_2_11_1_10_12_5";"11741";"1";"32"
"12_2_15_1_4_8_6_3_11_13_14_5_16_10_9_7";"12312";"2";"32"
"2_1_10_7_6_16_11_3_5_13_8_15_9_12_4_14";"12305";"2";"32"
"3_8_14_12_5_2_13_15_16_9_10_11_1_4_6_7";"11694";"1";"32"
"11_3_7_16_14_10_15_5_13_6_2_9_12_1_4_8";"11707";"1";"32"
"15_8_11_12_2_6_9_5_14_3_7_13_4_1_16_10";"12442";"2";"32"
"11_3_12_16_5_15_6_9_13_4_8_14_7_2_1_10";"11651";"1";"32"
"4_15_10_2_12_14_3_6_9_16_1_7_11_13_8_5";"11668";"1";"32"
"11_16_15_10_4_3_7_8_5_1_12_2_6_13_9_14";"11673";"1";"32"
"8_4_6_3_15_12_9_16_2_10_1_7_11_14_5_13";"12289";"2";"32"
"6_9_8_10_2_4_1_16_7_14_13_11_12_15_5_3";"12313";"2";"32"
"11_16_9_1_2_8_10_5_14_7_15_13_4_6_3_12";"11624";"1";"32"
"10_12_1_2_13_16_7_5_3_14_15_6_11_4_8_9";"12668";"2";"32"
"11_13_14_10_2_12_1_7_15_4_3_8_6_9_5_16";"11683";"1";"32"
"11_8_9_1_3_2_12_5_13_7_4_15_10_16_6_14";"11676";"1";"32"
"10_7_9_11_4_13_15_6_16_8_2_3_14_1_12_5";"12108";"2";"32"
"15_14_12_16_9_5_10_6_11_1_13_4_7_8_3_2";"12061";"2";"32"
"16_1_9_13_6_5_12_15_8_11_10_3_14_2_7_4";"12273";"2";"32"
"2_3_1_8_4_10_5_13_7_12_6_11_16_9_15_14";"12256";"2";"32"
"12_1_3_14_16_10_5_13_8_11_7_6_15_9_4_2";"12393";"2";"32"
"3_14_13_8_16_7_10_15_1_9_12_4_6_5_2_11";"11711";"1";"32"
"11_8_16_15_3_14_7_4_1_6_13_10_12_9_5_2";"11713";"1";"32"
"4_16_6_8_10_13_11_9_3_7_1_12_5_2_15_14";"11659";"1";"32"
"5_4_15_7_1_12_16_11_8_2_6_10_3_14_13_9";"12064";"2";"32"
"8_7_1_5_10_14_4_13_3_6_2_9_11_12_15_16";"12351";"2";"32"
"11_4_13_7_14_10_2_9_6_12_16_5_3_1_15_8";"11730";"1";"32"
"6_11_16_3_4_2_10_13_1_14_8_5_7_15_9_12";"12091";"2";"32"
"5_12_9_2_15_8_13_3_16_6_1_10_11_4_7_14";"12517";"2";"32"
