"permutations";"#UUIDs";"#classes";"#clone_configs"
"15_7_14_11_2_12_13_5_1_6";"11224";"5";"71"
"12_10_8_4_15_13_3_9_11_1_14_2_7";"11451";"5";"94"
"1";"6020";"2";"4"
"3_9_13_14_1_10_4_15";"11496";"6";"55"
"7_9_10_8_14_13_5_12_16_6_4_2_1";"11327";"5";"86"
"1_10";"7561";"2";"8"
"6_1_4_9_5_12_2";"11210";"6";"47"
"13_1_9_11_6_12_8_4_3_15_10_7_16_2_14";"11166";"5";"107"
"2_9_16_4_12_1_13_8";"11213";"5";"54"
"7_15_11_1_5_8_12";"11179";"5";"53"
"7_10_16_3_1_9_15_12";"11307";"5";"56"
"6_13_16_11_3_7_10_1_9";"11228";"5";"62"
"10_15_16_1_2_12_13_8";"11130";"5";"51"
"16_5_13_6_14_2_10_1_7_8_9";"9865";"3";"58"
"2_1_7_10_4_12_11_8";"11211";"5";"58"
"1";"6020";"2";"4"
"14_9_10_12_4_11_5_15_1_13_8_7_6_3_16";"11271";"5";"110"
"14_9_11_3_5_1_7_15_6_4_12_8";"11242";"5";"91"
"5_2_1_11_8_9_15_14_10_7_3_16";"11311";"5";"80"
"5_1_16_12";"11129";"5";"29"
"3_9_2_5_11_14_16_1";"11560";"6";"55"
"4_1_13";"11137";"5";"21"
"1";"6020";"2";"4"
"1_15_10_9";"9655";"3";"20"
"5_11_6_4_1_13_9_7_2";"11083";"5";"61"
"9_7_15_13_3_14_1_10_5_6_16_2";"11233";"5";"76"
"13_7_4_1";"10994";"5";"28"
"14_12_1";"11051";"5";"22"
"10_16_6_3_2_15_1";"11171";"5";"43"
"12_13_8_6_3_4_16_5_10_1";"11257";"5";"73"
"15_6_14_7_11_4_10_1_5_9_8_3";"11241";"5";"85"
"12_14_13_2_7_4_10_11_8_1_3_16_9";"11220";"5";"94"
"1";"6020";"2";"4"
"4_7_12_2_1_14_13_8";"11179";"5";"56"
"6_8_16_5_11_9_1_15";"11169";"5";"53"
"3_14_2_8_11_4_1_16_15_10_12_7";"11340";"5";"89"
"16_11_1";"11053";"5";"22"
"3_14_15_10_16_1_13_2_4_5_6_11_7_8_12";"11261";"5";"109"
"1_5_4_6_3_13_2_16_12_14_7_8_11_9";"11230";"5";"102"
"1_2";"6538";"2";"8"
"1_9";"7088";"2";"8"
"10_5_4_9_16_7_11_8_1_12_14_3_2_6_13";"11396";"5";"107"
"3_12_14_11_8_13_7_1_15_10_9";"11192";"5";"80"
"1_10_2_15_5_3";"11067";"5";"37"
"1_10_14_15_3_16_7_5_6_11_8";"11222";"5";"77"
"1";"6020";"2";"4"
"7_3_1_16_12_2_5_6";"11184";"5";"56"
"6_12_4_7_16_1_3";"11167";"5";"55"
"10_8_6_3_7_16_9_12_1_13_4_2";"11333";"6";"82"
"4_1_14_13_16_2_6_15_3_8_10_5_7";"11383";"5";"87"
"1";"6020";"2";"4"
"13_1_10_7_14_12_8_9_11_5";"11240";"5";"70"
"1_10_2";"7563";"2";"12"
"10_8_13_14_7_3_9_12_1_15_2_11_5";"11382";"6";"91"
"1_11";"10251";"5";"15"
"11_6_8_14_7_1";"11057";"5";"41"
"1_11_14_9";"10802";"5";"27"
"1";"6020";"2";"4"
"1_3_13_14_12_4_6_11_16";"11343";"5";"73"
"14_10_11_15_8_12_16_1_5_4_3_2";"11309";"5";"89"
"11_15_4_10_9_2_12_3_7_8_1_13_6_16";"11279";"5";"100"
"9_10_3_14_16_15_2_1_6";"11490";"6";"55"
"1_9_5_13_11_14_15_12_7_3";"11239";"5";"76"
"1";"6020";"2";"4"
"9_1";"7088";"2";"8"
"14_1_2_4_16_12_9_7_6";"11274";"5";"61"
"1_12_16_11_4_3_7_10_15";"11357";"5";"72"
"1_3_13_9_14_5_11";"10924";"5";"51"
"15_12_8_2_10_7_4_16_6_1";"11215";"5";"67"
"13_15_8_12_2_1_14_3_16_10_9_6_5_4";"11224";"5";"96"
"5_10_3_1_15_14_9";"11318";"5";"45"
"6_2_7_10_5_1_8_11_13_12";"11340";"5";"68"
"2_1_5_9_14_3_6_11_4_13";"11203";"5";"71"
"1_11_8_3_12_15_14_7_2_4_16_10_6_5";"11410";"5";"102"
"12_13_8_11_9_15_10_3_5_7_4_14_1";"11231";"5";"97"
"4_5_11_3_6_1_7";"11056";"5";"55"
"7_11_1_6_13_14_9_16";"11214";"5";"54"
"8_14_12_3_11_1_7_5_15_13_10_2_4_6";"11247";"5";"102"
"15_16_2_14_9_11_4_13_1";"11196";"5";"62"
"11_1";"10251";"5";"15"
"5_1";"8835";"3";"10"
"12_8_15_2_3_11_7_16_1_9_5";"11216";"5";"79"
"13_1_4_9_16";"11142";"5";"33"
"5_13_4_11_8_7_1_15_14_3";"11219";"5";"76"
"6_1_15_4_5_3_14";"11119";"5";"51"
"1_15_5_4_16_11_3";"11150";"5";"56"
"1_6_16_13_15_2_10_8_7_14_3_5";"11131";"5";"77"
"6_11_14_13_10_4_15_1_16_2";"11312";"5";"68"
"1_4_15_5_13_8";"11324";"5";"41"
"11_4_12_7_2_1_10_3";"11181";"5";"62"
"6_1";"8251";"2";"8"
"1_10_5";"9466";"3";"15"
"13_15_6_1_2_4_10";"11108";"5";"43"
"1_15";"9648";"3";"10"
"14_13_1_3_9_8";"11013";"5";"39"
"13_6_9_14_2_8_16_10_11_12_5_7_1";"11286";"5";"87"
"6_1_16_14_9_7_11_5_12_3_10_8_2_4";"11174";"5";"100"
"1_6_16";"9700";"3";"15"
"1";"6020";"2";"4"
"8_13_12_5_6_7_1";"11215";"5";"48"
