"permutations";"#UUIDs";"#classes";"#clone_configs"
"4_13_10_1_9_8";"23436";"1";"36"
"1_6_9_15_2_3_5_10";"23485";"1";"48"
"5_1_7_8_10_14_16_12_15";"23290";"1";"54"
"15_10_16_1_11_7";"22929";"1";"36"
"16_1_15_12";"22731";"1";"24"
"1_3_10";"22447";"1";"18"
"4_12_7_14_16_3_8_1_9_10_2";"23575";"1";"66"
"13_1_12_10_11_6_14_8_15_4_5_2_16_9";"23445";"1";"84"
"7_13_1_11_5_4_12_6_8_10";"23441";"1";"60"
"1_8_13_4_15_2_6_14_12_3_11";"23442";"1";"66"
"5_15_9_14_8_1_10_11_7_13_16_4";"23622";"1";"72"
"10_1_3_14";"22820";"1";"24"
"14_1";"21334";"1";"12"
"4_1_2_3_5_11_9_7";"23337";"1";"48"
"4_1_16_11_13_6_5_15_7_8_14";"23442";"1";"66"
"8_14_9_4_1_12_15_5_7_13";"23535";"1";"60"
"14_1_10_11";"22825";"1";"24"
"15_2_3_13_16_9_10_8_14_4_6_5_12_1_11";"23493";"1";"90"
"3_5_4_1_16_14_6_2_9_8_7";"22748";"1";"66"
"12_14_3_2_9_10_7_16_4_1_13_11";"23490";"1";"72"
"8_1";"21147";"1";"12"
"15_10_8_1_14";"22732";"1";"30"
"1_4_14_11_15_12_2_6_10_7_3_13_9";"23514";"1";"78"
"3_10_2_6_1_4_14_9_16";"23440";"1";"54"
"6_9_11_3_4_16_10_2_7_12_14_15_1";"23514";"1";"78"
"1_16_10";"22515";"1";"18"
"8_2_16_7_10_13_1_14_4_11_5_12_3_9";"23445";"1";"84"
"2_12_8_3_5_4_16_11_7_14_13_1";"23576";"1";"72"
"7_15_6_10_1";"23287";"1";"30"
"7_3_1_14_4_11";"23381";"1";"36"
"8_13_15_10_11_14_7_9_4_6_5_1_2_16";"23445";"1";"84"
"6_11_3_2_12_10_7_5_13_4_1_15_16_14";"23445";"1";"84"
"14_11_13_1";"23060";"1";"24"
"2_6_15_11_3_10_8_4_12_5_1_14_9";"23490";"1";"78"
"1_13_15_12_8_2_9_14_7_10_4_16";"23443";"1";"72"
"15_1";"21735";"1";"12"
"16_14_2_1_13_3_12_15_5_6";"23550";"1";"60"
"9_4_12_10_6_13_8_1_15_7";"23644";"1";"60"
"8_2_6_11_9_16_14_1_5";"23487";"1";"54"
"11_6_1_3_4";"23250";"1";"30"
"10_4_1_7_9_8_16_2_6";"23464";"1";"54"
"3_13_8_1_14_5_10_15_16_4_12_11_9_2";"23468";"1";"84"
"6_3_2_15_10_11_8_13_5_12_7_9_1_14_4";"23492";"1";"90"
"10_1_8_9_7_15";"22953";"1";"36"
"4_6_8_5_11_7_9_13_16_1_12_10_15";"23514";"1";"78"
"1";"19912";"1";"6"
"10_6_5_8_9_15_1_3_11_2_14";"23465";"1";"66"
"12_1_2";"22627";"1";"18"
"5_3_1_14_8_2_4";"22618";"1";"42"
"1_12_5_15_2_8_10_3";"23439";"1";"48"
"12_11_13_6_5_1";"23385";"1";"36"
"13_1";"22514";"1";"12"
"7_10_6_1";"23054";"1";"24"
"11_7_13_8_12_1_6_16_10_2_14";"23575";"1";"66"
"9_1_8_2_15_13_6_5_7_16_14_3_11_10_12";"23446";"1";"90"
"13_1";"22514";"1";"12"
"1";"19912";"1";"6"
"1_13_8_2_12_10_16";"22930";"1";"42"
"3_10_13_1_15_9_11";"23437";"1";"42"
"16_1_12_9_8_2";"22929";"1";"36"
"15_8_5_2_13_7_3_10_14_6_1_9";"23513";"1";"72"
"15_7_3_13_6_4_8_9_12_11_16_1_2_5";"23492";"1";"84"
"11_1_4_9_14_10_5_6_3_7";"23465";"1";"60"
"2_1";"20518";"1";"12"
"14_3_7_11_10_6_1_5_9_16_8_15_2";"23538";"1";"78"
"1_2";"20518";"1";"12"
"9_11_5_4_8_3_1";"23468";"1";"42"
"16_11_12_4_7_2_3_15_5_13_8_1_6_9";"23554";"1";"84"
"8_7_13_1";"22731";"1";"24"
"1_6_14_11_2_3_10_16_7_8_9_13_5_12_15";"23492";"1";"90"
"15_1_16_7_6";"22521";"1";"30"
"6_2_8_11_12_3_16_1_7_15";"23487";"1";"60"
"1_10_11_6_13_5_9";"23438";"1";"42"
"14_16_2_7_15_10_1_9_13_12_11_8_3";"23553";"1";"78"
"1";"19912";"1";"6"
"2_15_16_10_8_5_3_1_9";"23440";"1";"54"
"4_3_12_16_7_14_6_2_9_1_8";"23466";"1";"66"
"11_3_12_14_4_1_6_5_10_16_13_7_2_15_9";"23493";"1";"90"
"14_15_4_10_8_2_6_12_11_3_1_16_9_13_7";"23625";"1";"90"
"10_14_4_3_13_12_1_15_16_2";"23488";"1";"60"
"2_8_13_1_10_7_5_6_11_14_4_15";"23443";"1";"72"
"16_1_15";"21736";"1";"18"
"8_1_9_6";"22715";"1";"24"
"9_4_1";"22541";"1";"18"
"15_1_8_11_10_16";"22928";"1";"36"
"1_4";"21494";"1";"12"
"10_1";"21926";"1";"12"
"8_13_2_1_7_16_12_14_10_15_3_4_11_9";"23445";"1";"84"
"5_10_2_16_8_3_13_1";"23463";"1";"48"
"9_1_5_12_13_11";"23508";"1";"36"
"8_1_5_3_10_9_6_4_16";"23511";"1";"54"
"1_16_10_12_13_4";"23252";"1";"36"
"1_3";"20889";"1";"12"
"6_3_1_5_8_14";"22523";"1";"36"
"3_2_7_10_1_14_15_12";"23463";"1";"48"
"13_6_2_5_7_8_10_14_1_16";"23550";"1";"60"
"6_2_14_1_10_15_3";"23593";"1";"42"
"5_1";"21076";"1";"12"
"1_9_3_15_4_6_13_12_5_10_14_11";"23490";"1";"72"
"4_7_15_1";"22850";"1";"24"
"11_6_1_8_12";"23436";"1";"30"
"10_1_15";"22712";"1";"18"
"10_13_1";"22515";"1";"18"
"5_7_16_1";"21497";"1";"24"
"1";"19912";"1";"6"
"1_3_7_13_12_8_4_9_10_11_5_14_16";"23444";"1";"78"
"12_6_2_1";"23359";"1";"24"
"8_4_7_1_9_6_5_16_2";"22768";"1";"54"
"15_4_3_5_6_7_12_8_11_10_13_1";"23513";"1";"72"
"1_3_14";"22101";"1";"18"
"1_6_14_13_2_16_15_10_3";"23486";"1";"54"
"13_9_1_15_6_5";"23437";"1";"36"
"1_16_5_2_8";"22718";"1";"30"
"9_15_8_6_14_1_13_3";"23509";"1";"48"
"2_11_6_9_14_1";"23546";"1";"36"
"8_11_10_5_3_16_14_7_12_13_1_6";"23490";"1";"72"
"1";"19912";"1";"6"
"1_6_16_5_4_12_15_14_3_11_10_9_13_7";"23445";"1";"84"
"15_13_16_9_3_7_1_4";"23439";"1";"48"
"1_15_11_2_3_9_16";"23437";"1";"42"
"6_8_4_12_1_15_2_5_9";"23510";"1";"54"
"2_6_15_5_7_12_4_16_1_13_11_3_8_9";"23600";"1";"84"
"11_6_15_1_14_4";"23460";"1";"36"
"7_1_8_6_10_14_2_5_4";"23487";"1";"54"
"8_6_1_3_11_9_10_2_15";"23509";"1";"54"
"4_1_7_5_16_8_12";"23508";"1";"42"
"1_6_15_8_7_5_10_4_12_16_9_11_3_2_14";"23492";"1";"90"
"7_1";"20100";"1";"12"
"11_1_5_12_15_13_16_6";"23463";"1";"48"
"11_9_1_6_10_3_12_13_2_14_8_5_4_15_16";"23446";"1";"90"
"13_1_3";"23035";"1";"18"
"7_4_15_6_1";"22851";"1";"30"
"4_7_12_15_9_11_10_6_1_5";"23574";"1";"60"
"1";"19912";"1";"6"
"1";"19912";"1";"6"
"1";"19912";"1";"6"
"11_9_10_8_7_2_6_13_3_1_15_5_4_16";"23469";"1";"84"
"1";"19912";"1";"6"
"9_7_1_13_15_4";"23570";"1";"36"
"8_3_16_1_4_12_2_7_10";"23510";"1";"54"
"5_9_3_8_10_12_15_2_14_1";"23644";"1";"60"
"9_14_1_6_5_3_10_15_12_2";"23621";"1";"60"
"11_10_1_3_7_2_5_12";"23152";"1";"48"
"1_16_8_9_3_5_14";"22719";"1";"42"
"6_16_12_11_1";"23360";"1";"30"
"13_14_2_15_5_3_1_12_9";"23549";"1";"54"
"16_12_10_9_8_1_11_13_2_4_7_14_15";"23444";"1";"78"
"5_15_9_14_2_8_16_1_10";"23619";"1";"54"
"2_7_10_6_12_14_8_11_9_15_1_13_16_4";"23578";"1";"84"
"11_16_4_3_10_15_14_1_7_2";"23441";"1";"60"
"13_2_1_6_16_5_8_15_14_10_3_4_9";"23444";"1";"78"
"9_2_6_4_11_3_10_15_1_14_7";"23489";"1";"66"
"15_11_8_1_9_6_16_3_14_7_5_13_2";"23444";"1";"78"
"16_11_6_1_12_2_10_14_4";"23440";"1";"54"
"10_12_5_13_4_14_7_11_3_6_15_16_1_2";"23468";"1";"84"
"1_15_16";"21736";"1";"18"
"14_11_16_1_10_5_7_4";"23572";"1";"48"
"1";"19912";"1";"6"
"9_5_1_10_6_14_2_11";"23642";"1";"48"
"16_12_7_15_10_1_14_6_9_4_11_3_8_5_2";"23446";"1";"90"
"16_6_2_14_9_10_8_5_1_12_13";"23597";"1";"66"
"12_8_2_13_16_10_7_1";"22955";"1";"48"
"5_16_7_1_4";"21694";"1";"30"
"2_4_12_8_6_3_7_1_9_16_10";"23575";"1";"66"
"1_15_3_7_10_11";"23484";"1";"36"
"14_15_5_4_11_12_7_8_1_3";"23620";"1";"60"
"16_2_15_7_3_4_14_12_13_8_9_1_5_6";"23601";"1";"84"
"8_1_6_15_9_10_5";"23485";"1";"42"
"1_2_12_3_10_8_6_11_13_16_9_4_14";"23468";"1";"78"
"12_2_6_10_16_15_1";"23571";"1";"42"
"14_9_15_10_16_8_1_11_12_4_7_3";"23576";"1";"72"
"3_11_12_5_9_15_16_4_2_10_14_1";"23490";"1";"72"
"2_1_12_16_4_15_10_5_14_8_3_11_13_9_7";"23470";"1";"90"
"11_16_2_7_3_1_4_6_14_13_5_9_15";"23553";"1";"78"
"15_10_13_11_8_2_1_4_12_14";"23441";"1";"60"
"1";"19912";"1";"6"
"1";"19912";"1";"6"
"3_8_1_2_10_11_7_14";"23407";"1";"48"
"10_3_15_16_7_2_1_4";"23462";"1";"48"
"1";"19912";"1";"6"
"4_1";"21494";"1";"12"
"2_15_3_4_12_11_5_10_13_8_14_1_9_6_7";"23493";"1";"90"
"1_2_4_8";"22520";"1";"24"
"13_14_10_3_7_12_1_2_5_6";"23464";"1";"60"
"11_4_2_12_13_7_9_3_15_1";"23574";"1";"60"
"6_11_3_7_13_9_4_16_8_1_10_15_5_14";"23445";"1";"84"
"2_7_11_10_4_1_13_5";"23387";"1";"48"
"1_15";"21735";"1";"12"
"1";"19912";"1";"6"
"1";"19912";"1";"6"
"1_2_12_7_15_3_9_14_13_10_8_5";"23467";"1";"72"
"7_1_10_16_14_8_4";"23438";"1";"42"
"2_9_6_1_5";"22717";"1";"30"
"13_1_3_9_4_15_16_8_6_5";"23441";"1";"60"
"1_13_9_2_7_12_5_4_8_15_14_11_6_10_16";"23446";"1";"90"
"9_13_1_16_15_10_6_8_3";"23439";"1";"54"
"4_6_15_16_12_1_10_11_2_5_9";"23621";"1";"66"
"1_6_10_7_15_14_11_12_13_8_5_2_4";"23444";"1";"78"
