"permutations";"#UUIDs";"#classes";"#clone_configs"
"13_11_14_1_16_7_5_10_6_9_2_4_12_3_15_8";"23758";"4";"172"
"1_14_16_4_15_6_7_10_3_8_13_12_5_9_2_11";"24190";"4";"172"
"4_3_9_5_8_15_13_10_7_1_12_6_11_2_14_16";"24116";"4";"172"
"10_4_15_1_7_5_13_16_9_2_8_12_6_14_3_11";"23499";"4";"172"
"12_9_14_15_16_10_5_3_1_8_2_4_6_13_7_11";"24107";"4";"172"
"8_2_9_3_10_1_5_7_11_14_4_6_12_15_16_13";"24164";"4";"172"
"12_16_3_8_14_11_9_5_15_4_13_1_10_2_7_6";"23904";"4";"172"
"3_14_1_5_8_16_15_4_11_6_12_13_10_2_7_9";"24268";"4";"172"
"4_5_10_15_3_7_9_14_2_1_8_13_12_6_11_16";"24069";"4";"172"
"14_1_6_5_3_8_4_13_15_2_12_7_10_11_16_9";"24086";"4";"172"
"11_9_10_12_1_7_3_13_5_6_2_16_8_4_15_14";"23803";"4";"172"
"14_8_6_16_12_11_1_2_4_7_15_3_9_5_13_10";"23981";"4";"172"
"15_1_3_13_4_9_5_2_11_6_10_12_8_16_14_7";"24170";"4";"172"
"2_10_15_5_1_9_11_16_12_6_13_14_4_8_7_3";"23754";"4";"172"
"5_13_6_3_8_7_10_12_1_9_4_14_11_15_2_16";"23768";"4";"172"
"6_12_4_13_10_5_16_7_8_11_15_2_9_14_1_3";"23779";"4";"172"
"1_16_2_15_4_6_5_9_11_13_14_7_3_10_12_8";"23437";"4";"172"
"9_12_10_13_14_5_3_7_1_8_15_4_2_11_6_16";"23950";"4";"172"
"6_16_13_9_7_12_15_2_4_11_14_8_1_5_10_3";"23746";"4";"172"
"3_14_13_10_2_16_12_9_6_15_7_11_4_1_5_8";"23162";"4";"172"
"16_10_7_4_12_5_2_9_13_8_1_15_14_3_6_11";"23775";"4";"172"
"1_16_9_13_15_8_11_5_14_12_3_6_7_4_2_10";"24049";"4";"172"
"9_13_8_1_16_7_12_4_11_15_3_10_2_6_5_14";"23139";"4";"172"
"1_11_9_7_3_16_13_10_14_12_6_5_15_4_8_2";"24147";"4";"172"
"8_14_16_11_3_2_12_7_13_1_10_5_9_15_4_6";"24033";"4";"172"
"7_3_8_4_16_2_12_9_15_11_10_14_1_6_13_5";"23915";"4";"172"
"14_3_13_1_15_16_4_2_6_8_10_11_12_5_9_7";"24036";"4";"172"
"1_13_3_12_2_5_10_8_16_6_11_4_15_14_9_7";"23745";"4";"172"
"10_1_8_2_6_16_14_15_4_11_12_5_7_9_13_3";"23935";"4";"172"
"2_6_3_9_12_15_13_11_5_4_1_7_16_10_14_8";"24053";"4";"172"
"4_14_7_9_16_8_6_11_12_1_2_3_5_13_10_15";"24091";"4";"172"
"13_5_15_14_16_9_11_3_1_10_4_12_7_6_8_2";"24034";"4";"172"
"3_4_8_7_9_2_13_16_5_6_11_14_15_12_1_10";"23264";"4";"172"
"13_5_9_16_6_2_4_11_14_15_7_10_8_1_12_3";"23861";"4";"172"
"1_11_8_9_7_16_15_4_10_13_12_5_14_2_6_3";"24072";"4";"172"
"13_14_5_2_11_9_16_7_3_10_4_1_15_6_8_12";"23799";"4";"172"
"12_15_9_8_3_16_11_13_1_4_10_5_6_14_7_2";"23929";"4";"172"
"6_11_7_15_12_9_14_13_4_2_16_8_3_5_10_1";"23183";"4";"172"
"15_12_8_3_7_5_14_16_13_6_9_10_1_4_11_2";"23793";"4";"172"
"1_11_7_15_9_8_5_6_2_3_4_16_13_12_10_14";"23934";"4";"172"
"4_8_11_14_13_2_16_12_3_6_10_5_7_9_15_1";"23064";"4";"172"
"12_6_7_8_1_2_4_13_3_16_5_15_11_9_14_10";"23841";"4";"172"
"4_5_6_2_8_14_3_15_13_16_7_1_12_11_9_10";"24122";"4";"172"
"7_10_12_5_3_4_15_11_13_16_14_8_1_6_2_9";"23954";"4";"172"
"14_3_1_5_2_15_9_8_11_4_10_6_12_13_7_16";"23923";"4";"172"
