"permutations";"#UUIDs";"#classes";"#clone_configs"
"14_6_9_1_16_5_11_3";"23236";"4";"86"
"4_13_14_16_12_1_11";"22644";"4";"72"
"8_10_5_14_1";"23090";"4";"68"
"8_1";"20928";"4";"28"
"3_1";"20010";"4";"28"
"11_5_3_6_15_12_1_16_14_7_10_13_9_8_2";"23919";"4";"163"
"11_14_3_4_1_5_12_16_15_2_8_9";"23901";"4";"131"
"9_3_7_13_16_6_2_1_5";"23509";"4";"93"
"1";"18629";"4";"14"
"1";"18617";"4";"14"
"1";"18693";"4";"14"
"14_5_13_8_9_6_7_12_4_2_3_11_1_16_15";"23201";"4";"158"
"7_12_13_2_6_8_9_11_10_1";"23748";"4";"109"
"15_10_9_6_1_16_7";"22563";"4";"71"
"15_12_1_7_5_4_14_8_13_9_11_3";"22907";"4";"135"
"3_10_6_1_2_4_8_13_9_11_7";"23138";"4";"119"
"11_1";"21453";"4";"23"
"9_11_16_8_1_13_15";"22137";"4";"67"
"8_4_11_6_14_7_13_5_3_12_1_16";"23575";"4";"133"
"5_3_8_1_6_14_12_2";"23791";"4";"97"
"13_15_12_2_5_3_1_14_16_11_9_8";"24029";"4";"129"
"1";"18637";"4";"14"
"6_4_12_2_1";"22799";"4";"52"
"1_9_13";"21828";"4";"30"
"6_15_11_1_8_13_12_9_2_3_5";"22814";"4";"116"
"10_4_8_16_2_13_14_11_5_12_3_9_15_1_7";"24037";"4";"165"
"1_2";"19381";"4";"23"
"14_11_1_10_13_7_15";"23127";"4";"77"
"1";"18623";"4";"14"
"6_5_2_13_7_10_1_3_12_9_4_8_16";"23796";"4";"143"
"9_13_15_12_10_11_8_4_14_1_7_5";"23921";"4";"135"
"1_11";"21401";"4";"23"
"2_10_15_14_12_13_1_4_8_16_11_5";"24031";"4";"129"
"1_14_5_12";"22348";"4";"53"
"14_8_2_3_16_5_11_1_7_4_13_6";"23683";"4";"129"
"2_8_1_14_6_5_4_13_7_12_16_11";"23031";"4";"128"
"14_11_5_1_9";"23030";"4";"58"
"14_8_6_1_13_7_15";"23532";"4";"75"
"16_11_12_6_10_1_3_13_8_15";"23732";"4";"106"
"1_7_3_11_14_16_9";"23119";"4";"79"
"12_2_16_6_13_5_1_15_3_9_7_8_4_10_14";"23799";"4";"163"
"8_12_1_2_11_16_6";"23613";"4";"73"
