"permutations";"#UUIDs";"#classes";"#clone_configs"
"2_1_12_15_5_6_8_10_11_4_16_7_9_13_3_14";"23471";"1";"96"
"2_16_1_9_11_6_5_14_13_15_12_8_10_7_4_3";"23447";"1";"96"
"13_6_9_4_2_1_3_16_8_14_5_11_10_12_15_7";"23470";"1";"96"
"12_2_3_9_13_6_5_15_1_16_14_11_8_7_4_10";"23580";"1";"96"
"14_7_15_4_10_3_8_12_5_6_16_9_13_2_1_11";"23603";"1";"96"
"1_16_12_9_2_15_5_3_11_10_14_7_8_13_6_4";"23447";"1";"96"
"5_13_4_8_3_2_7_14_12_10_9_15_6_1_16_11";"23579";"1";"96"
"10_11_2_12_5_13_6_14_15_4_1_3_7_16_9_8";"23471";"1";"96"
"15_5_8_16_12_11_7_14_2_9_10_4_13_6_3_1";"23517";"1";"96"
"12_11_6_13_7_5_4_15_14_10_8_2_9_3_16_1";"23580";"1";"96"
"13_2_16_3_11_6_12_1_10_8_4_5_14_15_9_7";"23447";"1";"96"
"11_16_5_2_14_8_1_15_13_10_7_9_3_12_4_6";"23556";"1";"96"
"7_6_15_16_1_11_8_14_4_3_5_13_2_12_9_10";"23493";"1";"96"
"12_11_9_2_5_8_10_4_3_16_14_7_15_13_1_6";"23580";"1";"96"
"11_9_5_1_10_16_3_4_15_6_2_14_7_8_13_12";"23603";"1";"96"
"3_12_2_10_1_4_11_13_8_16_5_15_9_14_7_6";"23471";"1";"96"
"8_5_15_16_7_3_13_10_9_14_4_11_2_6_12_1";"23517";"1";"96"
"6_15_3_14_8_9_1_10_7_13_2_11_5_16_4_12";"23517";"1";"96"
"8_9_5_15_6_7_1_16_4_3_14_13_10_2_12_11";"23541";"1";"96"
"11_12_15_2_16_5_1_7_4_9_6_8_13_10_14_3";"23580";"1";"96"
"15_4_5_8_1_10_2_9_12_6_7_16_3_14_13_11";"23626";"1";"96"
"1_2_13_5_12_9_14_4_7_11_3_10_16_8_6_15";"23447";"1";"96"
"13_9_12_5_14_16_4_10_1_3_15_11_6_2_8_7";"23579";"1";"96"
"13_1_2_6_5_3_7_9_12_14_10_4_8_15_11_16";"23447";"1";"96"
"15_5_13_11_9_12_7_1_6_4_3_10_2_8_16_14";"23626";"1";"96"
"9_10_13_5_3_12_6_4_7_16_2_1_15_14_8_11";"23470";"1";"96"
"10_11_9_8_4_7_6_13_15_3_5_16_12_14_2_1";"23494";"1";"96"
"2_3_5_4_10_9_7_13_1_12_8_11_6_15_16_14";"23471";"1";"96"
"6_12_7_1_5_15_16_10_14_9_13_4_8_3_11_2";"23447";"1";"96"
"12_3_6_13_10_4_5_8_15_11_2_7_1_14_16_9";"23470";"1";"96"
"2_4_16_8_5_13_11_12_7_3_15_14_9_1_6_10";"23493";"1";"96"
"15_10_16_4_1_3_11_14_9_8_5_13_7_6_2_12";"23447";"1";"96"
"15_12_11_7_8_16_13_14_3_2_1_6_4_5_10_9";"23556";"1";"96"
"6_1_13_5_12_2_9_3_15_16_14_10_8_11_7_4";"23447";"1";"96"
"14_8_16_9_7_6_13_4_1_3_5_11_10_12_2_15";"23494";"1";"96"
"4_14_15_13_8_7_9_11_10_5_2_6_1_3_16_12";"23650";"1";"96"
"14_11_13_1_7_12_4_5_9_16_10_3_8_15_2_6";"23580";"1";"96"
"12_16_15_9_3_14_6_5_10_2_8_13_4_1_7_11";"23556";"1";"96"
"6_7_2_13_12_5_14_1_16_8_3_15_9_10_4_11";"23556";"1";"96"
